mes_ref;company_id;tipo_doc;max_valor_boleto;avg_valor_boleto;total_valor_boleto;valor_boleto_stdv;qtd_boleto_pago;qtd_boleto_total;qtd_boleto_estorno;qnt_cc_total;tempo_credenciamento;conta_bnk_repetida;fraude
01/07/2020;5e8ca59dd7a237656d599606;cnpj;"176,2";"176,2";"176,2";0;1;1;0;7;11;0;0
01/07/2020;5e8e2fc4ad6808537c79bb1f;cnpj;400;175;1400;"148,2";7;8;0;9;11;0;0
01/07/2020;5f1484e7f74efb5cb290cbd5;cpf;"1846,43";"1005,4";"16086,54";"514,86";2;16;0;0;2;0;0
01/07/2020;5f16416ec61b83616adcbef7;cnpj;430;245;735;"217,77";1;3;0;0;7;0;0
01/08/2020;5ee4fbe1c369ad42546bb06b;cnpj;"259,9";"182,84";"1279,9";"54,36";3;7;0;61;8;0;0
01/08/2020;5f25d81d30d1b42a967d9ed7;cpf;"49,9";"33,42";"568,3";"7,86";11;17;0;44;7;0;0
01/08/2020;5f03b16e1967700dfbd0e216;cpf;"41470,65";"3188,3";"127532,35";"7537,57";4;40;0;0;6;1;0
01/08/2020;5eb58c63f4f9b153ba17c553;cpf;"29,9";"29,9";"179,4";0;3;6;0;2;10;0;0
01/08/2020;5ea8ae3d0b2b4d5e3a82eaea;cnpj;"2637,5";"2387,5";4775;"353,55";2;2;0;0;10;0;0
01/09/2020;5eda75206c50252e50d510ff;cpf;"5082,81";"1858,75";"61338,87";"1362,11";4;33;0;0;6;0;0
01/09/2020;5f1508f3c61b83616adcb948;cpf;"9086,4";"2792,63";"22341,06";"2813,19";1;8;0;0;6;1;1
01/09/2020;5e8b9755073b7f6e40190839;cnpj;240;240;240;0;0;1;1;11;11;1;0
01/09/2020;5eea0a657ece11665d3616e4;cnpj;2900;"1431,25";5725;"1119,51";4;4;0;8;8;0;0
01/09/2020;5ea0a6f86f16314755faae9d;cnpj;2989;"492,68";"71439,95";"317,14";114;145;0;7;10;0;0
01/09/2020;5f595a604368f66570184e83;cpf;"13363,48";"1702,05";"112335,79";"2128,38";2;66;0;0;3;0;0
01/09/2020;5e7554ccfe17be6ebcc88b55;cnpj;340;"197,5";790;"99,21";2;4;0;0;11;0;0
01/09/2020;5f680d0515f123065dfd98df;cpf;"599,23";"521,5";"2086,01";"89,51";0;4;4;0;4;1;1
